FLUIDIGM,LIG3,RPA3,CDK7,DDB2,ERCC5,ERCC1,NBN,ATR,CHEK1,CHEK2,TP53,treatment
75,2.35,6.6,5.32,4.76,1.8,-0.08,2.64,-0.81,7.17,6.17,10.03,0
80,1.46,6.03,5.24,4.82,1.2,-0.77,2.69,-1.71,5.82,6.43,9.01,0
82,2.1,5.99,5.5,4.58,1.52,-0.54,2.78,-1.19,5.7,6.02,9.76,0
83,1.56,6.13,5.72,4.53,0.54,-0.33,2.24,-0.94,6.36,5.96,10.78,0
85,1.97,6.04,5.17,3.91,1.63,-0.42,2.34,-1.17,6.46,5.89,10.17,0
88,1.99,5.84,5.47,4.08,0.42,-0.67,2.36,-1.38,6.34,5.91,10.34,0
95,1.23,6.33,5.64,4.42,0.56,-1.2,2.73,-2.11,6.53,5.91,8.71,0
99,1.49,5.87,5.12,4.08,-0.06,-0.7,2.64,-1.16,6.46,5.53,9.71,0
100,1.35,5.99,5.49,4.7,0.42,-0.88,2.64,-1.09,6.67,5.84,9.7,0
103,1.11,6.47,5.51,4.5,1.99,-1.56,3.23,-2.32,6.69,6.45,8.04,0
113,2.17,6.48,6.01,5.4,0.8,-0.45,2.89,-0.9,7.31,6.33,9.34,0
136,2.71,7.04,6.62,6.03,2.37,0.22,3.16,0.05,6.86,6.23,10.5,0
CRC 106/2,2.1,3.33,4.53,2.32,0.23,-0.12,1.25,-0.37,4.95,4.34,9.67,1
CRC 111/1,3.52,4.86,4.57,3.53,1.26,0.12,1.86,0.44,5.65,4.67,10.25,1
CRC 111/2,3.05,4.81,4.49,3.94,1.66,-0.22,2.03,-0.05,5.56,5.04,10.89,1
CRC 111/3,1.74,6.74,6.13,4.92,1.33,-0.33,3.64,-1.48,6.73,6.46,9.38,0
CRC 143/1,3.23,6.64,5.91,5.01,2.78,0.93,2.32,0.47,6.27,5.56,10.59,1
CRC143/3,1.21,6.57,6.33,5.74,1.02,-0.01,3.55,-1.84,6.82,6.12,8.06,0
CRC 178/2,2.1,5.46,5.03,4.03,1.56,-0.03,2.38,-1.26,6.39,5.23,10.19,1
CRC 180/1,2.9,4.82,4.87,3.7,1.0,-0.32,1.57,-0.41,5.12,4.78,10.13,1
CRC 180/2,2.41,5.36,4.54,4.6,1.2,-0.17,2.12,-0.86,5.83,4.91,10.21,1
CRC 180/3,1.65,6.98,5.99,5.33,0.1,0.12,2.54,-1.07,6.61,6.21,10.08,0
CRC 185/2,2.33,4.81,4.59,4.61,0.85,0.22,2.04,-1.15,5.66,5.04,10.27,1
CRC 197/1,2.92,5.02,5.07,3.73,0.98,-0.41,2.0,-0.44,6.25,4.51,10.55,1
CRC 197/2,2.81,4.82,4.64,4.29,0.14,0.11,1.78,-0.25,5.23,4.38,9.71,1
CRC 197/3,1.59,5.76,5.92,4.1,0.36,-0.64,2.61,-1.31,7.08,5.6,10.37,0
CRC 212/1,2.31,4.21,4.15,3.35,1.26,-0.47,1.73,-1.12,5.97,4.42,9.54,1
CRC 212/2,2.73,4.74,4.45,4.3,2.55,-0.08,1.92,-0.78,6.17,4.49,9.99,1
CRC 212/3,1.57,5.79,5.38,4.47,0.62,-0.28,2.72,-1.88,6.89,5.66,10.03,0
CRC 219/1,2.46,5.07,4.81,3.5,2.35,-0.56,1.88,-0.97,5.99,5.72,10.32,1
CRC 219/2,2.93,4.6,4.52,3.86,1.77,-0.46,1.99,-0.17,5.95,5.38,9.9,1
CRC 219/3,1.71,5.8,5.29,4.21,0.53,-0.48,2.41,-1.22,6.92,6.43,10.47,0
CRC 232/1,2.76,4.68,4.62,3.29,2.36,-0.42,1.65,-0.12,6.04,4.38,10.49,1
CRC 239/1,2.59,4.62,4.17,3.13,1.94,-0.45,1.71,-0.35,5.86,4.32,10.88,1
CRC 239/2,4.01,6.42,5.96,5.16,2.16,0.58,2.33,0.66,6.57,6.59,10.32,1
CRC 239/3,2.07,5.16,5.17,4.33,0.8,0.06,2.18,-1.63,6.57,5.82,10.18,0
CRC 249/1,2.46,5.3,4.69,3.95,1.06,-0.25,1.94,-0.24,5.79,5.38,10.94,1
CRC2 49/3,1.6,5.56,6.17,4.25,0.41,-0.43,2.67,-1.3,6.32,5.62,10.36,0
CRC 260/1,2.82,4.87,4.56,3.61,3.18,-0.37,2.16,-0.13,5.54,5.17,10.82,1
P 65/1,3.37,5.54,5.51,4.36,2.65,0.36,1.63,0.57,6.07,5.5,10.21,1
P 65/2,2.6,4.7,4.25,3.6,2.41,-0.01,1.82,-0.8,5.71,4.76,10.53,1
P 65/3,1.75,5.62,5.52,3.89,0.3,-0.26,2.51,-1.48,5.97,5.92,10.16,0
P 1/1,2.6,4.94,4.3,3.35,2.67,-0.46,2.31,-0.81,5.14,5.08,10.83,1
P 1/3,2.58,6.03,4.91,4.78,2.07,-0.66,2.77,-1.09,6.64,5.48,10.85,0
P 2/1,3.64,5.68,5.41,4.56,2.94,0.18,2.25,-0.34,6.3,5.2,9.02,1
