FLUIDIGM,LIG3,RPA3,CDK7,DDB2,ERCC5,ERCC1,NBN,ATR,CHEK1,CHEK2,TP53,treatment
75,-0.145,-1.475,-0.113,-0.883,-0.368,-0.558,-0.594,-0.146,-1.801,-1.166,-0.031,0
78,0.725,-0.84,-0.769,-0.834,0.875,-0.772,-0.836,0.201,-0.623,-0.307,0.178,0
80,1.209,-0.736,0.008,-0.984,0.223,1.062,-0.696,1.129,0.603,-1.552,1.219,0
82,0.237,-0.691,-0.373,-0.601,-0.09,0.524,-0.859,0.388,0.814,-0.937,0.305,0
83,1.052,-0.868,-0.696,-0.52,0.878,0.027,0.169,0.032,-0.361,-0.847,-0.945,0
85,0.425,-0.755,0.119,0.443,-0.203,0.248,-0.016,0.357,-0.548,-0.741,-0.204,0
88,0.399,-0.496,-0.324,0.174,0.998,0.818,-0.052,0.656,-0.333,-0.765,-0.401,0
90,0.179,-0.572,-0.731,-0.263,0.666,-0.505,-0.744,1.218,-1.061,-0.456,0.66,0
95,1.551,-1.131,-0.576,-0.353,0.861,2.068,-0.764,1.693,-0.661,-0.769,1.577,0
99,1.15,-0.538,0.186,0.175,1.467,0.895,-0.599,0.352,-0.546,-0.197,0.358,0
100,1.371,-0.685,-0.354,-0.784,0.995,1.311,-0.587,0.244,-0.919,-0.659,0.367,0
103,1.731,-1.31,-0.389,-0.48,-0.553,2.894,-1.706,1.983,-0.946,-1.582,2.397,0
113,0.124,-1.32,-1.123,-1.876,0.621,0.308,-1.072,-0.019,-2.053,-1.399,0.815,0

136,-0.704,-2.043,-2.024,-2.853,-0.932,-1.266,-1.579,-1.362,-1.25,-1.256,-0.601,0
CRC106,0.134,0.56,0.804,0.742,1.173,0.698,0.927,0.204,1.726,1.173,-0.432,1
CRC106/2,0.232,2.732,1.058,2.906,1.185,-0.451,2.04,-0.764,2.146,1.614,0.405,1
CRC106/3,0.997,-0.732,-0.143,-0.377,0.547,2.36,-1.956,2.216,-0.662,-1.566,1.433,0
CRC111,-1.934,0.771,0.992,1.023,0.17,-1.013,0.884,-1.921,0.903,1.108,-0.303,1
CRC111/2,-1.214,0.826,1.109,0.397,-0.231,-0.217,0.576,-1.222,1.056,0.557,-1.083,1
CRC111/3,0.771,-1.657,-1.293,-1.133,0.099,0.035,-2.487,0.801,-1.016,-1.602,0.765,0
CRC143,-1.483,-1.526,-0.976,-1.275,-1.341,-2.915,0.013,-1.963,-0.199,-0.23,-0.715,1
CRC143/2,0.254,0.871,1.428,0.084,0.851,-1.355,0.509,-0.866,0.802,1.527,-0.139,1

